district_code,district_name,category,student_group,2021_2022_student_count,2021_2022_attendance_rate,2020_2021_student_count,2020_2021_attendance_rate,2019_2020_student_count,2019_2020_attendance_rate,reporting_period,date_update
00000CT,connecticut,unknown,all students,0.9999999999999999,0.7937819756001572,0.9999999999999999,0.8023952095808387,1.0,0.7552841709722884,Jun-22,2022-07-22
00000CT,connecticut,homelessness,students experiencing homelessness,0.0035860993673353125,0.4706808343171982,0.0034973351717020227,0.42348636061210954,0.007703414603439389,0.47581023954908463,Jun-22,2022-07-22
00000CT,connecticut,students with disabilities,students with disabilities,0.15671094320010395,0.6875245966155052,0.15417906356079114,0.6866267465069864,0.15809114264693733,0.660403945514326,Jun-22,2022-07-22
00000CT,connecticut,free/reduced lunch,free meal eligible,0.33774899303369216,0.6686343959071235,0.35522644993267377,0.6583499667332005,0.3810514885530721,0.6777829967120717,Jun-22,2022-07-22
00000CT,connecticut,free/reduced lunch,reduced price meal eligible,0.05973833868049933,0.7996851633215272,0.062258613321722577,0.8040585495675319,0.05411078281328072,0.7736026303428849,Jun-22,2022-07-22
00000CT,connecticut,free/reduced lunch,free/reduced price meal eligible,0.39752731052542156,0.6883116883116887,0.4174850632543963,0.6803060545575517,0.4351622713663528,0.6899953029591366,Jun-22,2022-07-22
00000CT,connecticut,english learners,english learners,0.08705586039399119,0.717827626918536,0.08187795812067115,0.687292082501664,0.08933482313227604,0.7130108031939884,Jun-22,2022-07-22
00000CT,connecticut,race/ethnicity,all other races,0.09730842653393701,0.8508461235733962,0.09542383267619715,0.8652694610778444,0.09296817521924043,0.7928604978863323,Jun-22,2022-07-22
00000CT,connecticut,race/ethnicity,black or african american,0.12609117167901013,0.7040535222353403,0.1255150254388299,0.6816367265469068,0.12629193502063554,0.7186472522310945,Jun-22,2022-07-22
00000CT,connecticut,race/ethnicity,hispanic/latino of any race,0.29240102745544866,0.7016922471467923,0.2786983059593785,0.6962741184298076,0.2694090245620109,0.700328792860498,Jun-22,2022-07-22
00000CT,connecticut,race/ethnicity,white,0.48407943789791413,0.8602912239275873,0.5003628359255944,0.878576180971391,0.5113308651981131,0.7853452325035235,Jun-22,2022-07-22
00000CT,connecticut,high needs,students without high needs,0.48191658421036854,0.8839039748130659,0.47651443683832834,0.9095143047238858,0.4752865174507127,0.8149365899483332,Jun-22,2022-07-22
00000CT,connecticut,high needs,students with high needs,0.49617502723556517,0.7091696182605274,0.5063980068213153,0.703260146373919,0.5247134825492873,0.6998590887740725,Jun-22,2022-07-22
10011,andover school district,unknown,all students,0.00028185061917183896,0.8791814246359699,0.00029026874047555695,0.9308050565535599,0.0003108119273093523,0.7660873649600752,Jun-22,2022-07-22
10011,andover school district,students with disabilities,students with disabilities,5.996821684507207e-06,0.8512396694214877,0.0,0.8027307585542118,0.0,0.7514307733700578,Jun-22,2022-07-22
10011,andover school district,free/reduced lunch,free/reduced price meal eligible,1.9989405615024032e-05,0.835104289649744,6.248840940793239e-05,0.8423153692614775,7.278507158510148e-05,0.7186472522310945,Jun-22,2022-07-22
10011,andover school district,race/ethnicity,white,0.00022787922401127405,0.8709169618260528,0.00023181184135200728,0.9371257485029942,0.00025179700440251324,0.7552841709722884,Jun-22,2022-07-22
10011,andover school district,high needs,students without high needs,0.00018590147221972354,0.888626524990161,0.00020157551421913676,0.9547571523619429,0.00021245372246462055,0.7895725692813524,Jun-22,2022-07-22
10011,andover school district,high needs,students with high needs,5.59703357220673e-05,0.8563557654466742,8.869322625642017e-05,0.8752495009980041,9.835820484473174e-05,0.7130108031939884,Jun-22,2022-07-22
20011,ansonia school district,unknown,all students,0.004235755049823594,0.7449822904368357,0.004339920821138014,0.6789753825681974,0.0042982535517147764,0.7242837012682006,Jun-22,2022-07-22
20011,ansonia school district,students with disabilities,students with disabilities,0.0006976302559643389,0.6867375049193232,0.0007942075260233988,0.602129075182968,0.0008085044438236948,0.6885861906998594,Jun-22,2022-07-22
20011,ansonia school district,free/reduced lunch,free meal eligible,0.002342758338080817,0.6851633215269581,0.002453174008046894,0.5904856952761146,0.0025809192951257607,0.6768435885392208,Jun-22,2022-07-22
20011,ansonia school district,free/reduced lunch,reduced price meal eligible,0.0004097828151079928,0.8382526564344741,0.0004293558452867613,0.7824351297405197,0.0002891731222435113,0.794739314232034,Jun-22,2022-07-22
20011,ansonia school district,free/reduced lunch,free/reduced price meal eligible,0.002792519964418858,0.7087760724124359,0.0028825298533336555,0.6190951430472396,0.002870092417369272,0.6890558947862848,Jun-22,2022-07-22
20011,ansonia school district,english learners,english learners,0.00020389193727324517,0.7981109799291617,0.00023987486192077274,0.6882900864936801,0.00025376416849940786,0.7679661813057779,Jun-22,2022-07-22
20011,ansonia school district,race/ethnicity,all other races,0.0002578633324338101,0.8024399842581658,0.000334615353603767,0.7395209580838324,0.0003344178964720879,0.7421324565523726,Jun-22,2022-07-22
20011,ansonia school district,race/ethnicity,black or african american,0.0008275613924619952,0.7221566312475405,0.0008486329148625658,0.6024617431803065,0.0008537492180522714,0.724753405354627,Jun-22,2022-07-22
20011,ansonia school district,race/ethnicity,hispanic/latino of any race,0.001932975522972824,0.7249114521841795,0.0019069043645130338,0.6373918829008653,0.0018156924614337478,0.7022076092061997,Jun-22,2022-07-22
20011,ansonia school district,race/ethnicity,white,0.0010974183682648196,0.7807949626131445,0.0012497681881586478,0.776779773785762,0.0012943939757566697,0.7501174260216068,Jun-22,2022-07-22
20011,ansonia school district,high needs,students without high needs,0.001015461805243221,0.8402203856749311,0.0011106810833474436,0.833998669328011,0.0011547253248771505,0.7970878346641621,Jun-22,2022-07-22
20011,ansonia school district,high needs,students with high needs,0.0030483843562911657,0.7146792601338059,0.0031506252872451077,0.626081170991351,0.0031435282268376264,0.697040864255519,Jun-22,2022-07-22
30011,ashford school district,unknown,all students,0.0006456578013652764,0.8488783943329397,0.0006934197689138304,0.8875582168995346,0.0006845731057193329,0.8050728041333963,Jun-22,2022-07-22
30011,ashford school district,students with disabilities,students with disabilities,5.197245459906249e-05,0.8268398268398269,9.474049168299428e-05,0.895209580838324,0.00011016118942609954,0.7501174260216068,Jun-22,2022-07-22
30011,ashford school district,free/reduced lunch,free meal eligible,0.00014392372042817307,0.7929948839039747,0.00019754400393475402,0.7980705256154361,0.0,0.7514307733700578,Jun-22,2022-07-22
30011,ashford school district,free/reduced lunch,reduced price meal eligible,1.998940561502398e-06,0.7957497048406137,5.644114398135829e-05,0.845642049234864,0.0,0.7514307733700578,Jun-22,2022-07-22
30011,ashford school district,free/reduced lunch,free/reduced price meal eligible,0.00018590147221972354,0.7933884297520661,0.00025398514791611233,0.8083832335329348,0.00025573133259630253,0.7543447627994366,Jun-22,2022-07-22
30011,ashford school district,race/ethnicity,hispanic/latino of any race,2.1988346176526444e-05,0.7796143250688705,5.442538883916692e-05,0.8403193612774453,4.3277610131681966e-05,0.6961014560826682,Jun-22,2022-07-22
30011,ashford school district,race/ethnicity,white,0.0005257213676751321,0.8646202282565913,0.0005886005015198793,0.9035262807717901,0.0005862149008746011,0.8154062940347577,Jun-22,2022-07-22
30011,ashford school district,high needs,students without high needs,0.00033782095489390626,0.8787878787878785,0.0003608201704522548,0.9328010645375917,0.0003580238656348235,0.8431188351338657,Jun-22,2022-07-22
30011,ashford school district,high needs,students with high needs,0.0002498675701878005,0.8083431719795358,0.00031244204703966195,0.8310046573519632,0.0003265492400845094,0.7632691404415217,Jun-22,2022-07-22
40011,avon school district,unknown,all students,0.0060707824852828,0.9071231798504522,0.0062347306547979,0.911177644710579,0.006172960936055363,0.8041333959605446,Jun-22,2022-07-22
40011,avon school district,students with disabilities,students with disabilities,0.0006076779306967308,0.8087367178276264,0.0006148053183683671,0.8073852295409187,0.0006491641519752294,0.728041333959605,Jun-22,2022-07-22
40011,avon school district,free/reduced lunch,free meal eligible,0.0004117817556694952,0.7843368752459661,0.0003708989461632116,0.7551563539587494,0.00047802087554539623,0.7130108031939884,Jun-22,2022-07-22
40011,avon school district,free/reduced lunch,reduced price meal eligible,7.995762246009614e-05,0.7359307359307357,0.00010280351225175974,0.8230206254158356,9.245671255404783e-05,0.7017379051197752,Jun-22,2022-07-22
40011,avon school district,free/reduced lunch,free/reduced price meal eligible,0.0005317181893596394,0.774104683195592,0.0004737024584149714,0.7701264138389892,0.000570477588099444,0.7111319868482857,Jun-22,2022-07-22
40011,avon school district,english learners,english learners,0.00011194067144413462,0.8902007083825265,0.0001814179627972231,0.9045242847638062,0.000204585066077042,0.7346171911695629,Jun-22,2022-07-22
40011,avon school district,race/ethnicity,all other races,0.0013832668685596632,0.9409681227863049,0.0014856115397950378,0.9574184963406522,0.0014852088931554491,0.8323156411460788,Jun-22,2022-07-22
40011,avon school district,race/ethnicity,black or african american,0.0003178315492788822,0.8154269972451789,0.0003467098844569152,0.8040585495675319,0.0003186805836969308,0.7548144668858621,Jun-22,2022-07-22
40011,avon school district,race/ethnicity,hispanic/latino of any race,0.00040178705286198315,0.8646202282565913,0.00045556066213524906,0.8423153692614775,0.0004229402808323465,0.7745420385157358,Jun-22,2022-07-22
40011,avon school district,race/ethnicity,white,0.0038479605808921275,0.9075167256985437,0.003946848568410698,0.9108449767132405,0.003946131178370637,0.8008454673555665,Jun-22,2022-07-22
40011,avon school district,high needs,students without high needs,0.004811449931536286,0.9307359307359309,0.00504140361062061,0.9311377245508985,0.00497889232924032,0.822451855331142,Jun-22,2022-07-22
40011,avon school district,high needs,students with high needs,0.0011333992983718628,0.8142463597009049,0.0011006023076364866,0.8203592814371263,0.0011940686068150433,0.7261625176139033,Jun-22,2022-07-22
50011,barkhamsted school district,unknown,all students,0.0003578103605089303,0.8473042109405742,0.00038904074244293396,0.9367930805056557,0.0003914656552820323,0.7994363550962893,Jun-22,2022-07-22
50011,barkhamsted school district,students with disabilities,students with disabilities,4.9973514037560094e-05,0.7756788665879575,8.869322625642017e-05,0.8968729208250172,0.00011016118942609954,0.7820573038985437,Jun-22,2022-07-22
50011,barkhamsted school district,free/reduced lunch,free/reduced price meal eligible,4.797457347605768e-05,0.8213301849665484,8.66774711142288e-05,0.9128409846972727,0.00010622686123231028,0.7806481916392674,Jun-22,2022-07-22
50011,barkhamsted school district,race/ethnicity,white,0.000311834727594375,0.8492719401810307,0.00035275714988348934,0.9351297405189625,0.0003580238656348235,0.7956787224048858,Jun-22,2022-07-22
50011,barkhamsted school district,high needs,students without high needs,0.00020788981839625002,0.8724911452184179,0.00023785910677858138,0.9577511643379912,0.00022228954294909372,0.8186942226397376,Jun-22,2022-07-22
50011,barkhamsted school district,high needs,students with high needs,0.0001059438497596274,0.8024399842581658,0.0001431186150955871,0.9041916167664676,0.00016917611233293857,0.7740723344293094,Jun-22,2022-07-22
70011,berlin school district,unknown,all students,0.005183252875975733,0.8614718614718613,0.005402223781072865,0.8848968729208253,0.0053113430616155135,0.7942696101456086,Jun-22,2022-07-22
70011,berlin school district,students with disabilities,students with disabilities,0.0007296133049483774,0.7548209366391183,0.0008123493223031211,0.7874251497005988,0.0007829313105640646,0.6975105683419454,Jun-22,2022-07-22
70011,berlin school district,free/reduced lunch,free meal eligible,0.0008175666896544831,0.7426210153482882,0.0010159405916644493,0.7654690618762476,0.0009914507048348958,0.7083137623297331,Jun-22,2022-07-22
70011,berlin school district,free/reduced lunch,reduced price meal eligible,0.0002158855806422596,0.7847304210940571,0.00025398514791611233,0.8815701929474384,0.0001632746200422547,0.7853452325035235,Jun-22,2022-07-22
70011,berlin school district,free/reduced lunch,free/reduced price meal eligible,0.0010734310815267907,0.7520661157024793,0.0012699257395805616,0.788755821689954,0.0011547253248771505,0.7195866604039454,Jun-22,2022-07-22
70011,berlin school district,english learners,english learners,0.00014992054211268027,0.7945690672963397,0.00021165428993009358,0.8037258815701933,0.00018884775330188492,0.7242837012682006,Jun-22,2022-07-22
70011,berlin school district,race/ethnicity,all other races,0.00034381777657841345,0.8890200708382525,0.00040113527329608216,0.8772455089820363,0.0003737611784099806,0.8248003757632691,Jun-22,2022-07-22
70011,berlin school district,race/ethnicity,black or african american,8.795338470610576e-05,0.83392365210547,0.0001552131459487353,0.8306719893546246,0.00012393133810436198,0.7524659464537349,Jun-22,2022-07-22
70011,berlin school district,race/ethnicity,hispanic/latino of any race,0.0005936853467662139,0.7469500196772922,0.000647057400643429,0.776779773785762,0.0006157223623280206,0.7012682010333489,Jun-22,2022-07-22
70011,berlin school district,race/ethnicity,white,0.004037859934234856,0.8780007870916959,0.0041988179611846185,0.9041916167664676,0.004197928182773151,0.8060122123062472,Jun-22,2022-07-22
